Time,Year,california
1/1/2014 0:00,2014,22073
1/1/2014 1:00,2014,21283
1/1/2014 2:00,2014,20635
1/1/2014 3:00,2014,20283
1/1/2014 4:00,2014,20271
1/1/2014 5:00,2014,20421
1/1/2014 6:00,2014,20886
1/1/2014 7:00,2014,20815
1/1/2014 8:00,2014,21167
1/1/2014 9:00,2014,21532
1/1/2014 10:00,2014,21756
1/1/2014 11:00,2014,21947
1/1/2014 12:00,2014,21941
1/1/2014 13:00,2014,21902
1/1/2014 14:00,2014,22166
1/1/2014 15:00,2014,22234
1/1/2014 16:00,2014,22902
1/1/2014 17:00,2014,26294
1/1/2014 18:00,2014,26902
1/1/2014 19:00,2014,26545
1/1/2014 20:00,2014,25945
1/1/2014 21:00,2014,24957
1/1/2014 22:00,2014,23215
1/1/2014 23:00,2014,21463
1/2/2014 0:00,2014,20592
1/2/2014 1:00,2014,20273
1/2/2014 2:00,2014,20024
1/2/2014 3:00,2014,19795
1/2/2014 4:00,2014,20163
1/2/2014 5:00,2014,21423
1/2/2014 6:00,2014,23266
1/2/2014 7:00,2014,24601
1/2/2014 8:00,2014,25501
1/2/2014 9:00,2014,25930
1/2/2014 10:00,2014,26142
1/2/2014 11:00,2014,26014
1/2/2014 12:00,2014,25911
1/2/2014 13:00,2014,25721
1/2/2014 14:00,2014,25609
1/2/2014 15:00,2014,25636
1/2/2014 16:00,2014,26322
1/2/2014 17:00,2014,29103
1/2/2014 18:00,2014,29382
1/2/2014 19:00,2014,28747
1/2/2014 20:00,2014,27894
1/2/2014 21:00,2014,26554
1/2/2014 22:00,2014,24621
1/2/2014 23:00,2014,22783
1/3/2014 0:00,2014,21591
1/3/2014 1:00,2014,20495
1/3/2014 2:00,2014,20015
1/3/2014 3:00,2014,20200
1/3/2014 4:00,2014,20420
1/3/2014 5:00,2014,21490
1/3/2014 6:00,2014,23506
1/3/2014 7:00,2014,24783
1/3/2014 8:00,2014,25602
1/3/2014 9:00,2014,26092
1/3/2014 10:00,2014,26188
1/3/2014 11:00,2014,26006
1/3/2014 12:00,2014,25759
1/3/2014 13:00,2014,25626
1/3/2014 14:00,2014,25423
1/3/2014 15:00,2014,25369
1/3/2014 16:00,2014,26054
1/3/2014 17:00,2014,28764
1/3/2014 18:00,2014,29009
1/3/2014 19:00,2014,28444
1/3/2014 20:00,2014,27644
1/3/2014 21:00,2014,26559
1/3/2014 22:00,2014,24744
1/3/2014 23:00,2014,22816
1/4/2014 0:00,2014,21447
1/4/2014 1:00,2014,20561
1/4/2014 2:00,2014,20012
1/4/2014 3:00,2014,19984
1/4/2014 4:00,2014,20185
1/4/2014 5:00,2014,20530
1/4/2014 6:00,2014,21531
1/4/2014 7:00,2014,22103
1/4/2014 8:00,2014,22849
1/4/2014 9:00,2014,23285
1/4/2014 10:00,2014,23332
1/4/2014 11:00,2014,23134
1/4/2014 12:00,2014,22897
1/4/2014 13:00,2014,22635
1/4/2014 14:00,2014,22576
1/4/2014 15:00,2014,22810
1/4/2014 16:00,2014,23677
1/4/2014 17:00,2014,26752
1/4/2014 18:00,2014,27268
1/4/2014 19:00,2014,26846
1/4/2014 20:00,2014,26211
1/4/2014 21:00,2014,25109
1/4/2014 22:00,2014,23531
1/4/2014 23:00,2014,21862
1/5/2014 0:00,2014,20957
1/5/2014 1:00,2014,20112
1/5/2014 2:00,2014,19488
1/5/2014 3:00,2014,19264
1/5/2014 4:00,2014,19293
1/5/2014 5:00,2014,19732
1/5/2014 6:00,2014,20589
1/5/2014 7:00,2014,21029
1/5/2014 8:00,2014,21658
1/5/2014 9:00,2014,22027
1/5/2014 10:00,2014,22175
1/5/2014 11:00,2014,22182
1/5/2014 12:00,2014,22160
1/5/2014 13:00,2014,22133
1/5/2014 14:00,2014,22136
1/5/2014 15:00,2014,22442
1/5/2014 16:00,2014,23431
1/5/2014 17:00,2014,26746
1/5/2014 18:00,2014,27497
1/5/2014 19:00,2014,27099
1/5/2014 20:00,2014,26377
1/5/2014 21:00,2014,24977
1/5/2014 22:00,2014,23115
1/5/2014 23:00,2014,21553
1/6/2014 0:00,2014,20639
1/6/2014 1:00,2014,20070
1/6/2014 2:00,2014,19628
1/6/2014 3:00,2014,19775
1/6/2014 4:00,2014,20453
1/6/2014 5:00,2014,21844
1/6/2014 6:00,2014,24250
1/6/2014 7:00,2014,25746
1/6/2014 8:00,2014,26217
1/6/2014 9:00,2014,26400
1/6/2014 10:00,2014,26600
1/6/2014 11:00,2014,26614
1/6/2014 12:00,2014,26411
1/6/2014 13:00,2014,26222
1/6/2014 14:00,2014,26094
1/6/2014 15:00,2014,26078
1/6/2014 16:00,2014,26673
1/6/2014 17:00,2014,29285
1/6/2014 18:00,2014,29690
1/6/2014 19:00,2014,29028
1/6/2014 20:00,2014,28134
1/6/2014 21:00,2014,26513
1/6/2014 22:00,2014,24194
1/6/2014 23:00,2014,22145
1/7/2014 0:00,2014,20800
1/7/2014 1:00,2014,20203
1/7/2014 2:00,2014,19932
1/7/2014 3:00,2014,19631
1/7/2014 4:00,2014,20205
1/7/2014 5:00,2014,21854
1/7/2014 6:00,2014,24689
1/7/2014 7:00,2014,26275
1/7/2014 8:00,2014,26549
1/7/2014 9:00,2014,26670
1/7/2014 10:00,2014,26697
1/7/2014 11:00,2014,26649
1/7/2014 12:00,2014,26261
1/7/2014 13:00,2014,26117
1/7/2014 14:00,2014,25998
1/7/2014 15:00,2014,25925
1/7/2014 16:00,2014,26633
1/7/2014 17:00,2014,29360
1/7/2014 18:00,2014,29846
1/7/2014 19:00,2014,29286
1/7/2014 20:00,2014,28350
1/7/2014 21:00,2014,26803
1/7/2014 22:00,2014,24600
1/7/2014 23:00,2014,22581
1/8/2014 0:00,2014,21476
1/8/2014 1:00,2014,20817
1/8/2014 2:00,2014,20500
1/8/2014 3:00,2014,20449
1/8/2014 4:00,2014,20631
1/8/2014 5:00,2014,22121
1/8/2014 6:00,2014,24678
1/8/2014 7:00,2014,26355
1/8/2014 8:00,2014,26773
1/8/2014 9:00,2014,26778
1/8/2014 10:00,2014,26757
1/8/2014 11:00,2014,26388
1/8/2014 12:00,2014,26065
1/8/2014 13:00,2014,26053
1/8/2014 14:00,2014,25959
1/8/2014 15:00,2014,25945
1/8/2014 16:00,2014,27020
1/8/2014 17:00,2014,29953
1/8/2014 18:00,2014,30538
1/8/2014 19:00,2014,29994
1/8/2014 20:00,2014,29108
1/8/2014 21:00,2014,27505
1/8/2014 22:00,2014,25247
1/8/2014 23:00,2014,23173
1/9/2014 0:00,2014,22214
1/9/2014 1:00,2014,21595
1/9/2014 2:00,2014,21162
1/9/2014 3:00,2014,21090
1/9/2014 4:00,2014,21444
1/9/2014 5:00,2014,22657
1/9/2014 6:00,2014,25274
1/9/2014 7:00,2014,26773
1/9/2014 8:00,2014,27083
1/9/2014 9:00,2014,27129
1/9/2014 10:00,2014,27081
1/9/2014 11:00,2014,26818
1/9/2014 12:00,2014,26520
1/9/2014 13:00,2014,26403
1/9/2014 14:00,2014,26347
1/9/2014 15:00,2014,26436
1/9/2014 16:00,2014,26897
1/9/2014 17:00,2014,29499
1/9/2014 18:00,2014,30201
1/9/2014 19:00,2014,29731
1/9/2014 20:00,2014,28852
1/9/2014 21:00,2014,27355
1/9/2014 22:00,2014,25252
1/9/2014 23:00,2014,23235
1/10/2014 0:00,2014,22345
1/10/2014 1:00,2014,21750
1/10/2014 2:00,2014,20954
1/10/2014 3:00,2014,20833
1/10/2014 4:00,2014,21377
1/10/2014 5:00,2014,22672
1/10/2014 6:00,2014,25134
1/10/2014 7:00,2014,26660
1/10/2014 8:00,2014,26812
1/10/2014 9:00,2014,26831
1/10/2014 10:00,2014,26758
1/10/2014 11:00,2014,26458
1/10/2014 12:00,2014,26184
1/10/2014 13:00,2014,26090
