tech,line,node_start,node_end,reactance,resistance,power_ex,power_lim,type,circuits,length,voltage
trans,line01,CCT,CVA,0,0,18328,18328,AC_OHL,0,151,0
trans,line02,CCT,FRE,0,0,9494,9494,AC_OHL,0,145,0
trans,line03,CCT,NCT,0,0,564,564,AC_OHL,0,276,0
trans,line04,CVA,FRE,0,0,1744,1744,AC_OHL,0,217,0
trans,line05,CVA,NCT,0,0,4658,4658,AC_OHL,0,144,0
trans,line06,CVA,NVA,0,0,10072,10072,AC_OHL,0,301,0
trans,line07,CVA,SW,0,0,1183,1183,AC_OHL,0,729,0
trans,line08,ECA,LAX,0,0,746,746,AC_OHL,0,200,0
trans,line09,ELU,LAX,0,0,15299,15299,AC_OHL,0,195,0
trans,line10,ELU,NE,0,0,0,0,DC_OHL,0,1289,0
trans,line11,ELU,SDG,0,0,2175,2175,AC_OHL,0,166,0
trans,line12,ELU,SW,0,0,8222,8222,AC_OHL,0,414,0
trans,line13,ELU,SW,0,0,1920,1920,DC_OHL,0,414,0
trans,line14,FRE,LAX,0,0,11394,11394,AC_OHL,0,253,0
trans,line15,LAX,NW,0,0,3100,3100,DC_OHL,0,1163,0
trans,line16,MX,SDG,0,0,1128,1128,AC_OHL,0,294,0
trans,line17,NE,NW,0,0,0,0,AC_OHL,0,798,0
trans,line18,NE,SW,0,0,0,0,AC_OHL,0,892,0
trans,line19,NVA,NW,0,0,5255,5255,AC_OHL,0,513,0
trans,line20,NVA,PAC,0,0,3537,3537,AC_OHL,0,53,0
trans,line21,NW,PAC,0,0,240,240,AC_OHL,0,460,0
trans,line22,NW,SW,0,0,0,0,AC_OHL,0,1049,0
trans,line23,SDG,SW,0,0,210,210,AC_OHL,0,553,0
trans,line24,CVA,CCT,0,0,18328,18328,AC_OHL,0,151,0
trans,line25,FRE,CCT,0,0,9494,9494,AC_OHL,0,145,0
trans,line26,NCT,CCT,0,0,564,564,AC_OHL,0,276,0
trans,line27,FRE,CVA,0,0,1744,1744,AC_OHL,0,217,0
trans,line28,NCT,CVA,0,0,4658,4658,AC_OHL,0,144,0
trans,line29,NVA,CVA,0,0,10072,10072,AC_OHL,0,301,0
trans,line30,SW,CVA,0,0,1183,1183,AC_OHL,0,729,0
trans,line31,LAX,ECA,0,0,746,746,AC_OHL,0,200,0
trans,line32,LAX,ELU,0,0,15299,15299,AC_OHL,0,195,0
trans,line33,NE,ELU,0,0,0,0,DC_OHL,0,1289,0
trans,line34,SDG,ELU,0,0,2175,2175,AC_OHL,0,166,0
trans,line35,SW,ELU,0,0,8222,8222,AC_OHL,0,414,0
trans,line36,SW,ELU,0,0,1920,1920,DC_OHL,0,414,0
trans,line37,LAX,FRE,0,0,11394,11394,AC_OHL,0,253,0
trans,line38,NW,LAX,0,0,3100,3100,DC_OHL,0,1163,0
trans,line39,SDG,MX,0,0,1128,1128,AC_OHL,0,294,0
trans,line40,NW,NE,0,0,0,0,AC_OHL,0,798,0
trans,line41,SW,NE,0,0,0,0,AC_OHL,0,892,0
trans,line42,NW,NVA,0,0,5255,5255,AC_OHL,0,513,0
trans,line43,PAC,NVA,0,0,3537,3537,AC_OHL,0,53,0
trans,line44,PAC,NW,0,0,240,240,AC_OHL,0,460,0
trans,line45,SW,NW,0,0,0,0,AC_OHL,0,1049,0
trans,line46,SW,SDG,0,0,210,210,AC_OHL,0,553,0
