node,region,infrastruct,lon,lat,area,name,fid,|,pv,wind,coal,oil,nuc,gas,biogas,biomass,ror_large,ror_small,geo,bat_e,bat_in,bat_out,php_e,php_in,php_out,h2_e,h2_in,h2_out,trans,demand
CCT,CA,ex,-121.508007,36.835916,34074.110977,Central Coast,10,|,37,240,0,371,0,9364,12,11,0,0,0,6,0,0,0,1,1,0,0,0,0,1
CVA,CA,ex,-120.92462,38.568567,76465.162777,Central Valley,2,|,206,1055,0,89,0,4962,28,131,2902,170.04,0,2,28,28,0,0,0,0,0,0,0,1
ECA,CA,ex,-117.762879,36.850993,53967.269243,Eastern California,8,|,5,0,0,0,0,0,0,0,112,21.3,107,0,4,4,0,0,0,0,0,0,0,1
ELU,CA,ex,-116.175824,34.52921,107506.054746,Eastern Lugo,7,|,3052,703,63,2,0,6517,0,42,395,39.24,0,32,7,7,0,3,3,0,0,0,0,1
FRE,CA,ex,-119.878719,36.922124,52497.514074,Greater Fresno,11,|,1134,17,0,3,0,1296,0,41,1391,67.38,0,0,11,11,1702,0,0,0,0,0,0,1
LAX,CA,ex,-118.205797,35.088959,96851.291182,Los Angeles,9,|,4227,3308,38,43,2323,18679,145,114,130,109.83,0,39,18,18,1631,4,4,0,0,0,0,1
MX,MX,ex,-115.078662,30.519538,99315.314145,Baja Mexico,5,|,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NCT,CA,ex,-123.026842,39.010328,33207.749667,Northern Coast,6,|,5,0,0,0,0,3,9,2,0,6.3,562,0,1,1,0,0,0,0,0,0,0,1
NE,NE,ex,-110.302235,45.21395,1713478.49484,Northeastern US,0,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NVA,CA,ex,-121.786326,40.884313,85408.683393,Northern Valley,1,|,16,102,0,0,0,406,2,150,3141,114.87,0,0,19,19,376,0,0,0,0,0,0,1
NW,NW,ex,-120.505947,45.401707,863912.483028,Northwestern US,12,|,0,0,600,0,0,7900,0,0,3500,0,7,0,0,0,0,0,0,0,0,0,0,1
PAC,CA,ex,-121.595864,41.337343,74680.350015,Pacificorps,3,|,0,0,0,0,0,6,0,35,0,30.6,1,0,5,5,0,0,0,0,0,0,0,1
SDG,CA,ex,-116.028133,33.037577,32235.198239,SDG&E,4,|,1175,316,0,31,0,4088,0,26,0,30.93,236,36,5,5,42,4,4,0,0,0,0,1
SW,SW,ex,-113.493734,37.557859,1277237.60833,Southwestern US,13,|,1605,304,2170,0,852,536,0,5,2080,0,65,0,0,0,0,0,0,0,0,0,0,1
CCT,CA,lim,-121.508007,36.835916,34074.110977,Central Coast,10,|,370,2400,0,371,0,9364,12,11,0,0,0,6,0,0,0,1,1,0,0,0,0,1
CVA,CA,lim,-120.92462,38.568567,76465.162777,Central Valley,2,|,2060,10550,0,89,0,4962,28,131,2902,170.04,0,2,28,28,0,0,0,0,0,0,0,1
ECA,CA,lim,-117.762879,36.850993,53967.269243,Eastern California,8,|,50,0,0,0,0,0,0,0,112,21.3,107,0,4,4,0,0,0,0,0,0,0,1
ELU,CA,lim,-116.175824,34.52921,107506.054746,Eastern Lugo,7,|,30520,7030,63,2,0,6517,0,42,395,39.24,0,32,7,7,0,3,3,0,0,0,0,1
FRE,CA,lim,-119.878719,36.922124,52497.514074,Greater Fresno,11,|,11340,170,0,3,0,1296,0,41,1391,67.38,0,0,11,11,1702,0,0,0,0,0,0,1
LAX,CA,lim,-118.205797,35.088959,96851.291182,Los Angeles,9,|,42270,33080,38,43,2323,18679,145,114,130,109.83,0,39,18,18,1631,4,4,0,0,0,0,1
MX,MX,lim,-115.078662,30.519538,99315.314145,Baja Mexico,5,|,0,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NCT,CA,lim,-123.026842,39.010328,33207.749667,Northern Coast,6,|,50,0,0,0,0,3,9,2,0,6.3,562,0,1,1,0,0,0,0,0,0,0,1
NE,NE,lim,-110.302235,45.21395,1713478.49484,Northeastern US,0,|,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NVA,CA,lim,-121.786326,40.884313,85408.683393,Northern Valley,1,|,160,1020,0,0,0,406,2,150,3141,114.87,0,0,19,19,376,0,0,0,0,0,0,1
NW,NW,lim,-120.505947,45.401707,863912.483028,Northwestern US,12,|,0,0,600,0,0,7900,0,0,3500,0,7,0,0,0,0,0,0,0,0,0,0,1
PAC,CA,lim,-121.595864,41.337343,74680.350015,Pacificorps,3,|,0,0,0,0,0,6,0,35,0,30.6,1,0,5,5,0,0,0,0,0,0,0,1
SDG,CA,lim,-116.028133,33.037577,32235.198239,SDG&E,4,|,11750,3160,0,31,0,4088,0,26,0,30.93,236,36,5,5,42,4,4,0,0,0,0,1
SW,SW,lim,-113.493734,37.557859,1277237.60833,Southwestern US,13,|,16050,3040,2170,0,852,536,0,5,2080,0,65,0,0,0,0,0,0,0,0,0,0,1
