tech,location,year,account,|,EUR,CO2
pv,GER,2015,cap,|,1250000,2403.509
wind,GER,2015,cap,|,1400000,551.25
coal,GER,2015,cap,|,1750000,623.68
oil,GER,2015,cap,|,438000,330
gas,GER,2015,cap,|,385000,61.67
bat_e,GER,2015,cap,|,310000,41458.868
bat_in,GER,2015,cap,|,140000,0
bat_out,GER,2015,cap,|,0,0
h2_e,GER,2015,cap,|,692,0
h2_in,GER,2015,cap,|,3700000,1450000
h2_out,GER,2015,cap,|,0,0
trans,GER,2015,cap,|,882,266.2
demand,GER,2015,cap,|,0,0
pv,GER,2015,fix,|,24500,0
wind,GER,2015,fix,|,42500,0
coal,GER,2015,fix,|,52500,0
oil,GER,2015,fix,|,13100,0
gas,GER,2015,fix,|,7700,0
bat_e,GER,2015,fix,|,5810,0
bat_in,GER,2015,fix,|,0,0
bat_out,GER,2015,fix,|,0,0
h2_e,GER,2015,fix,|,24.2,0
h2_in,GER,2015,fix,|,147000,0
h2_out,GER,2015,fix,|,0,0
trans,GER,2015,fix,|,0,0
demand,GER,2015,fix,|,0,0
pv,GER,2015,var,|,0,0
wind,GER,2015,var,|,0,0
coal,GER,2015,var,|,10.708,1217.49
oil,GER,2015,var,|,153.586,874.6
gas,GER,2015,var,|,86.564,728.71
bat_e,GER,2015,var,|,0,0
bat_in,GER,2015,var,|,0.01,0
bat_out,GER,2015,var,|,0,0
h2_e,GER,2015,var,|,0,0
h2_in,GER,2015,var,|,1.9,0
h2_out,GER,2015,var,|,0,0
trans,GER,2015,var,|,0,0
demand,GER,2015,var,|,0,0
