tech,line,node_start,node_end,reactance,resistance,power_ex,power_lim,circuits,voltage,length,lat_start,lon_start,lat_end,lon_end
trans,line01,dena21,dena82,21.04,3.833,4150,50000,8,380,56.4,54.11,9.92,53.61,10.04
trans,line02,dena72,dena73,16.87,3.183,9020,50000,14,380,86.18,51.44,6.96,51.72,8.13
trans,line03,dena72,dena74,15.36,1.998,15100,50000,20,380,70.52,51.44,6.96,50.81,7
trans,line04,dena24,dena74,15.73,1.382,3400,50000,2,380,150.38,50.81,9.14,50.81,7
trans,line05,dena41,dena75,31.98,4.183,4150,50000,6,380,98.53,49.15,8.86,49.62,7.7
trans,line06,dena42,dena75,44.36,7.98,2680,50000,4,380,174.84,48.27,8.91,49.62,7.7
trans,line07,dena41,dena42,41.18,4.815,10460,50000,14,380,98.97,49.15,8.86,48.27,8.91
trans,line08,dena71,dena72,29.41,3.762,3890,50000,3,380,112.6,52.33,7.77,51.44,6.96
trans,line09,dena71,dena73,27.86,3.475,4380,50000,4,380,72.07,52.33,7.77,51.72,8.13
trans,line10,dena24,dena73,21.84,1.919,5100,50000,4,380,123.5,50.81,9.14,51.72,8.13
trans,line11,dena23,dena73,16.81,3.036,3660,50000,6,380,137.96,52.33,9.88,51.72,8.13
trans,line12,dena23,dena24,13.97,1.307,3890,50000,4,380,177.04,52.33,9.88,50.81,9.14
trans,line13,dena74,dena75,33.7,4.862,7780,50000,7,380,141.07,50.81,7,49.62,7.7
trans,line14,dena42,dena76,13.74,2.495,6570,50000,7,380,117.31,48.27,8.91,48.19,10.49
trans,line15,dena24,dena75,7.34,0.645,3400,50000,2,380,166.58,50.81,9.14,49.62,7.7
trans,line16,dena24,dena25,28.44,2.637,3890,50000,4,380,169.94,50.81,9.14,49.77,10.9
trans,line17,dena25,dena41,32.08,2.819,3400,50000,2,380,162.33,49.77,10.9,49.15,8.86
trans,line18,dena25,dena26,35.92,6.278,4870,50000,8,380,176,49.77,10.9,48.35,11.99
trans,line19,dena81,dena84,47.26,4.477,7290,50000,5,380,204.41,53.05,12.82,51.25,13.42
trans,line20,dena83,dena84,44.7,7.454,10460,50000,10,380,134.78,51.04,11.52,51.25,13.42
trans,line21,dena24,dena83,35.59,3.127,3400,50000,2,380,168.75,50.81,9.14,51.04,11.52
trans,line22,dena23,dena71,26.16,2.299,1700,50000,1,380,143.92,52.33,9.88,52.33,7.77
trans,line23,dena22,dena71,25.74,2.262,5100,50000,3,380,112.19,53.27,8.35,52.33,7.77
trans,line24,dena25,dena83,18.58,1.633,1700,50000,2,380,148.61,49.77,10.9,51.04,11.52
trans,line25,dena22,dena23,35.57,3.226,3890,50000,4,380,147.11,53.27,8.35,52.33,9.88
trans,line26,dena23,dena82,9.42,0.827,1700,50000,2,380,142.74,52.33,9.88,53.61,10.04
trans,line27,dena22,dena82,9.54,1.494,2190,50000,4,380,117.97,53.27,8.35,53.61,10.04
trans,line28,dena26,dena76,16.56,1.456,1700,50000,2,380,112.39,48.35,11.99,48.19,10.49
trans,line29,dena23,dena81,16.15,1.42,1700,50000,2,380,213.54,52.33,9.88,53.05,12.82
trans,line30,dena81,dena82,28.83,2.533,1700,50000,2,380,194.66,53.05,12.82,53.61,10.04
trans,line31,dena81,dena83,39.32,3.455,1700,50000,2,380,240.58,53.05,12.82,51.04,11.52
trans,line32,dena21,dena22,18.91,1.662,1700,50000,2,380,139.05,54.11,9.92,53.27,8.35
trans,line33,dena73,dena74,20.77,3.893,490,50000,2,220,127.92,51.72,8.13,50.81,7
